id,timestamp,food_type,tomato_id,position,blue,green,yellow,orange,red,nir,ndvi,gndvi,rvi,freshness_score,category,actual_category,actual_freshness_score,model_version,verified_at,notes
52,2026-07-15T14:31:55.535039,tomato,1002,10,64.0,69.0,74.0,61.0,53.0,102.0,0.316129,0.192982,1.924528,0.0,Fresh,Fresh,0.0,v1.1,2026-07-15T14:32:47.892063,
52,2026-07-15T14:31:55.535039,tomato,1002,10,64.0,69.0,74.0,61.0,53.0,102.0,0.316129,0.192982,1.924528,0.0,Fresh,Fresh,0.0,v1.1,2026-07-15T14:32:56.164957,
52,2026-07-15T14:31:55.535039,tomato,1002,10,64.0,69.0,74.0,61.0,53.0,102.0,0.316129,0.192982,1.924528,0.0,Fresh,Fresh,0.0,v1.1,2026-07-15T14:33:02.580389,
52,2026-07-15T14:31:55.535039,tomato,1002,10,64.0,69.0,74.0,61.0,53.0,102.0,0.316129,0.192982,1.924528,0.0,Fresh,Fresh,0.0,v1.1,2026-07-15T14:33:08.735085,
57,2026-07-25T06:38:13.446080,tomato,10001,1,50.0,57.0,63.0,80.0,52.5,83.0,0.225092,0.185714,1.580952,0.0,Fresh,Fresh,0.0,v1.1,2026-07-25T06:41:00.410720,
57,2026-07-25T06:38:13.446080,tomato,10001,1,50.0,57.0,63.0,80.0,52.5,83.0,0.225092,0.185714,1.580952,0.0,Fresh,Fresh,0.0,v1.1,2026-07-25T06:41:48.902955,
57,2026-07-25T06:38:13.446080,tomato,10001,1,50.0,57.0,63.0,80.0,52.5,83.0,0.225092,0.185714,1.580952,0.0,Fresh,Fresh,0.0,v1.1,2026-07-25T06:41:53.500319,
57,2026-07-25T06:38:13.446080,tomato,10001,1,50.0,57.0,63.0,80.0,52.5,83.0,0.225092,0.185714,1.580952,0.0,Fresh,Fresh,0.0,v1.1,2026-07-25T06:41:57.111327,
57,2026-07-25T06:38:13.446080,tomato,10001,1,50.0,57.0,63.0,80.0,52.5,83.0,0.225092,0.185714,1.580952,0.0,Fresh,Fresh,0.0,v1.1,2026-07-25T06:42:00.536587,
57,2026-07-25T06:38:13.446080,tomato,10001,1,50.0,57.0,63.0,80.0,52.5,83.0,0.225092,0.185714,1.580952,0.0,Fresh,Fresh,0.0,v1.1,2026-07-25T06:42:04.090203,
57,2026-07-25T06:38:13.446080,tomato,10001,1,50.0,57.0,63.0,80.0,52.5,83.0,0.225092,0.185714,1.580952,0.0,Fresh,Fresh,0.0,v1.1,2026-07-25T06:42:07.546360,
57,2026-07-25T06:38:13.446080,tomato,10001,1,50.0,57.0,63.0,80.0,52.5,83.0,0.225092,0.185714,1.580952,0.0,Fresh,Fresh,0.0,v1.1,2026-07-25T06:42:43.857230,
58,2026-07-25T08:03:46.089911,tomato,10001,1,50.0,57.0,63.0,80.0,62.0,94.0,0.205128,0.245033,1.516129,0.0,Fresh,Aging,60.0,v1.1,2026-07-25T08:06:07.940463,
89,2026-07-25T08:30:45.724566,tomato,1002,10,64.0,69.0,74.0,61.0,53.0,102.0,0.316129,0.192982,1.924528,0.0,Fresh,Fresh,0.0,v1.1,2026-07-25T09:21:57.435744,Bulk verified automatically
88,2026-07-25T08:30:45.698775,tomato,1002,9,63.0,68.0,73.0,62.0,51.0,104.0,0.341935,0.209302,2.039216,0.0,Fresh,Fresh,0.0,v1.1,2026-07-25T09:21:57.464177,Bulk verified automatically
